"","Date","Game","Name","Team","Cat","Side","Odds","Risk","ToWin","Result","Net","Unt"
"1461","11/30/2022","ATL@ORL","Dejounte Murray","ATL","Reb","U",-103,103,100,"W",100,1
"1462","11/30/2022","ATL@ORL","John Collins","ATL","Pts","U",-117,117,100,"W",100,1
"1463","11/30/2022","ATL@ORL","John Collins","ATL","Reb","U",-115,115,100,"W",100,1
"1464","11/30/2022","ATL@ORL","Trae Young","ATL","Reb","U",102,98,100,"W",100,1
"1465","11/30/2022","PHI@CLE","Caris LeVert","CLE","Reb","U",125,80,100,"L",-80,-0.8
"1466","11/30/2022","PHI@CLE","Darius Garland","CLE","Reb","U",135,74,100,"W",100,1
"1467","11/30/2022","PHI@CLE","PJ Tucker","PHI","Pts","U",-115,115,100,"L",-115,-1.15
"1468","11/30/2022","PHI@CLE","Shake Milton","PHI","Ast","U",-140,140,100,"W",100,1
"1469","11/30/2022","PHI@CLE","Tobias Harris","PHI","Ast","U",125,80,100,"L",-80,-0.8
"1470","11/30/2022","MIA@BOS","Al Horford","BOS","Pts","U",-103,103,100,"W",100,1
"1471","11/30/2022","MIA@BOS","Al Horford","BOS","Reb","U",-122,122,100,"W",100,1
"1472","11/30/2022","MIA@BOS","Jaylen Brown","BOS","Ast","U",-110,110,100,"L",-110,-1.1
"1473","11/30/2022","MIA@BOS","Jaylen Brown","BOS","Reb","U",-125,125,100,"L",-125,-1.25
"1474","11/30/2022","MIA@BOS","Jayson Tatum","BOS","Ast","U",-115,115,100,"W",100,1
"1475","11/30/2022","MIA@BOS","Marcus Smart","BOS","Pts","U",-109,109,100,"W",100,1
"1476","11/30/2022","MIA@BOS","Marcus Smart","BOS","Reb","U",106,94,100,"L",-94,-0.94
"1477","11/30/2022","MIL@NYK","Giannis Antetokounmpo","MIL","Pts","O",-108,108,100,"W",100,1
"1478","11/30/2022","MIL@NYK","Jevon Carter","MIL","Pts","U",-105,105,100,"W",100,1
"1479","11/30/2022","MIL@NYK","Jevon Carter","MIL","Reb","U",140,71,100,"L",-71,-0.71
"1480","11/30/2022","MIL@NYK","Jalen Brunson","NYK","Reb","U",100,100,100,"L",-100,-1
"1481","11/30/2022","MIL@NYK","Julius Randle","NYK","Ast","U",-105,105,100,"L",-105,-1.05
"1482","11/30/2022","MIL@NYK","Mitchell Robinson","NYK","Ast","U",-105,105,100,"L",-105,-1.05
"1483","11/30/2022","MIL@NYK","RJ Barrett","NYK","Ast","U",140,71,100,"L",-71,-0.71
"1484","11/30/2022","WAS@BKN","Kevin Durant","BKN","Reb","U",-134,134,100,"W",100,1
"1485","11/30/2022","WAS@BKN","Seth Curry","BKN","Ast","U",100,100,100,"W",100,1
"1486","11/30/2022","WAS@BKN","Bradley Beal","WAS","Pts","U",-118,118,100,"L",-118,-1.18
"1487","11/30/2022","WAS@BKN","Bradley Beal","WAS","Ast","O",125,80,100,"W",100,1
"1488","11/30/2022","WAS@BKN","Jordan Goodwin","WAS","Pts","U",110,91,100,"W",100,1
"1489","11/30/2022","WAS@BKN","Kyle Kuzma","WAS","Reb","U",106,94,100,"W",100,1
"1490","11/30/2022","MEM@MIN","Anthony Edwards","MIN","Ast","U",-135,135,100,"L",-135,-1.35
"1491","11/30/2022","SAS@OKC","Luguentz Dort","OKC","Ast","U",-111,111,100,"L",-111,-1.11
"1492","11/30/2022","SAS@OKC","Devin Vassell","SAS","Reb","U",-142,142,100,"L",-142,-1.42
"1493","11/30/2022","SAS@OKC","Keldon Johnson","SAS","Reb","U",125,80,100,"L",-80,-0.8
"1494","11/30/2022","SAS@OKC","Tre Jones","SAS","Reb","U",110,91,100,"L",-91,-0.91
"1495","11/30/2022","TOR@NOP","Jose Alvarado","NOP","Pts","U",-117,117,100,"W",100,1
"1496","11/30/2022","TOR@NOP","Jose Alvarado","NOP","Ast","U",-125,125,100,"W",100,1
"1497","11/30/2022","TOR@NOP","Zion Williamson","NOP","Reb","U",-125,125,100,"L",-125,-1.25
"1498","11/30/2022","TOR@NOP","OG Anunoby","TOR","Pts","U",-113,113,100,"W",100,1
"1499","11/30/2022","CHI@PHX","Alex Caruso","CHI","Reb","U",135,74,100,"W",100,1
"1500","11/30/2022","CHI@PHX","Patrick Williams","CHI","Pts","U",-118,118,100,"W",100,1
"1501","11/30/2022","CHI@PHX","Zach LaVine","CHI","Ast","U",-137,137,100,"L",-137,-1.37
"1502","11/30/2022","CHI@PHX","Deandre Ayton","PHX","Ast","U",-157,157,100,"L",-157,-1.57
"1503","11/30/2022","HOU@DEN","Jamal Murray","DEN","Ast","U",-107,107,100,"W",100,1
"1504","11/30/2022","HOU@DEN","Kentavious Caldwell-Pope","DEN","Reb","U",135,74,100,"W",100,1
"1505","11/30/2022","HOU@DEN","Nikola Jokic","DEN","Reb","U",100,100,100,"W",100,1
"1506","11/30/2022","HOU@DEN","Alperen Sengun","HOU","Ast","U",110,91,100,"W",100,1
"1507","11/30/2022","HOU@DEN","Jalen Green","HOU","Reb","U",-108,108,100,"W",100,1
"1508","11/30/2022","LAC@UTA","Jarred Vanderbilt","UTA","Ast","U",-114,114,100,"W",100,1
"1509","11/30/2022","LAC@UTA","Jordan Clarkson","UTA","Pts","U",-118,118,100,"L",-118,-1.18
"1510","11/30/2022","LAC@UTA","Kelly Olynyk","UTA","Ast","U",105,95,100,"W",100,1
"1511","11/30/2022","LAC@UTA","Lauri Markkanen","UTA","Ast","U",-150,150,100,"W",100,1
"1512","11/30/2022","IND@SAC","Aaron Nesmith","IND","Ast","U",-135,135,100,"W",100,1
"1513","11/30/2022","IND@SAC","Buddy Hield","IND","Ast","U",105,95,100,"W",100,1
